대분류,구분,원료/에너지,단위,탄소발자국 (CO2e),종류,ESG Scope 분류 (추정)
원료 및 에너지 생산,건축자재,1종 포틀랜드 시멘트,kg,9.26E-01,고체,공정
원료 및 에너지 생산,건축자재,2종 포틀랜드 시멘트,kg,9.80E-01,고체,공정
원료 및 에너지 생산,건축자재,3종 포틀랜드 시멘트,kg,9.46E-01,고체,공정
원료 및 에너지 생산,건축자재,4종 포틀랜드 시멘트,kg,9.81E-01,고체,공정
원료 및 에너지 생산,건축자재,강화유리,kg,1.05E+00,고체,공정
원료 및 에너지 생산,건축자재,고로 슬래그 시멘트,kg,5.04E-01,고체,공정
원료 및 에너지 생산,건축자재,고로슬래그 미분말,kg,7.05E-02,고체,공정
원료 및 에너지 생산,건축자재,모래,kg,2.21E-03,고체,공정
원료 및 에너지 생산,건축자재,바다모래,kg,5.43E-03,고체,공정
원료 및 에너지 생산,건축자재,산림모래,kg,6.42E-03,고체,공정
원료 및 에너지 생산,건축자재,석고보드,kg,1.38E-01,고체,공정
원료 및 에너지 생산,건축자재,석회석,kg,2.54E-03,고체,공정
원료 및 에너지 생산,건축자재,순환 굵은 골재,kg,3.51E-02,고체,공정
원료 및 에너지 생산,건축자재,순환 잔골재,kg,1.02E-01,고체,공정
원료 및 에너지 생산,건축자재,암면,kg,5.26E-01,고체,공정
원료 및 에너지 생산,건축자재,우레탄방수재,kg,1.92E+00,고체,공정
원료 및 에너지 생산,건축자재,유리면,kg,1.90E-01,고체,공정
원료 및 에너지 생산,건축자재,육상모래,kg,1.49E-04,고체,공정
원료 및 에너지 생산,건축자재,자갈,kg,3.87E-03,고체,공정
원료 및 에너지 생산,건축자재,타일,kg,3.53E-01,고체,공정
원료 및 에너지 생산,건축자재,파티클보드(재활용원료),kg,2.76E-01,고체,공정
원료 및 에너지 생산,건축자재,판유리,kg,7.89E-01,고체,공정
원료 및 에너지 생산,건축자재,하천모래,kg,9.26E-04,고체,공정
원료 및 에너지 생산,건축자재,합판,m3,8.18E+02,고체,공정
원료 및 에너지 생산,고무,스티렌 부타디엔 고무,kg,2.49E+00,고체,공정
원료 및 에너지 생산,고무,에틸렌 프로필렌 디엔 고무,kg,4.50E+00,고체,공정
원료 및 에너지 생산,고무,천연고무,kg,1.81E-01,고체,공정
원료 및 에너지 생산,고무,폴리부타디엔 고무,kg,9.23E-01,고체,공정
원료 및 에너지 생산,금속,구리,kg,4.57E+00,고체,공정
원료 및 에너지 생산,금속,납,kg,3.92E-01,고체,공정
원료 및 에너지 생산,금속,니켈,kg,2.78E+01,고체,공정
원료 및 에너지 생산,금속,스테인레스강,kg,3.19E+00,고체,공정
원료 및 에너지 생산,금속,아연,kg,2.43E+00,고체,공정
원료 및 에너지 생산,금속,알루미늄 박,kg,2.39E+00,고체,공정
원료 및 에너지 생산,금속,알루미늄 판,kg,1.96E+00,고체,공정
원료 및 에너지 생산,금속,"알루미늄 빌렛(A6061, A6063)",kg,8.34E-01,고체,공정
원료 및 에너지 생산,금속,알루미늄주괴(재활용원료),kg,4.85E-01,고체,공정
원료 및 에너지 생산,금속,알루미늄칩(재활용원료),kg,7.29E-02,고체,공정
원료 및 에너지 생산,금속,알루미늄화성박,kg,2.44E+00,고체,공정
원료 및 에너지 생산,금속,탄소강,kg,2.34E+00,고체,공정
원료 및 에너지 생산,금속,페라이트 마그네트,kg,3.64E+00,고체,공정
원료 및 에너지 생산,금속,황동봉,kg,1.81E+00,고체,공정
원료 및 에너지 생산,금속,황동조,kg,2.39E+00,고체,공정
원료 및 에너지 생산,기초화학물질,"1,3-부타디엔",kg,1.65E+00,액체,공정
원료 및 에너지 생산,기초화학물질,"1,4-부탄디올",kg,3.42E+00,액체,공정
원료 및 에너지 생산,기초화학물질,DINP,kg,2.15E+00,액체,공정
원료 및 에너지 생산,기초화학물질,DOP,kg,2.25E+00,액체,공정
원료 및 에너지 생산,기초화학물질,가성소다(50%),kg,6.29E-01,액체,공정
원료 및 에너지 생산,기초화학물질,가성칼륨,kg,4.34E-01,고체,공정
원료 및 에너지 생산,기초화학물질,경질탄산칼슘,kg,9.96E-01,고체,공정
원료 및 에너지 생산,기초화학물질,규사,kg,2.19E-02,고체,공정
원료 및 에너지 생산,기초화학물질,규산나트륨,kg,1.51E+00,고체,공정
원료 및 에너지 생산,기초화학물질,글리세린(재활용원료),kg,3.03E-01,액체,공정
원료 및 에너지 생산,기초화학물질,나프타,kg,6.43E-02,액체,공정
원료 및 에너지 생산,기초화학물질,노말-부탄올,kg,1.66E+00,액체,공정
원료 및 에너지 생산,기초화학물질,니트로벤젠,kg,2.03E+00,액체,공정
원료 및 에너지 생산,기초화학물질,디메틸테레프탈레이트,kg,1.51E+00,고체,공정
원료 및 에너지 생산,기초화학물질,메탄올,kg,4.21E-01,액체,공정
원료 및 에너지 생산,기초화학물질,메틸 메타크릴레이트,kg,8.16E-01,액체,공정
원료 및 에너지 생산,기초화학물질,무수불화수소,kg,6.72E-01,기체,냉매 (또는 공정)
원료 및 에너지 생산,기초화학물질,발연황산_98%,kg,2.06E-01,액체,공정
원료 및 에너지 생산,기초화학물질,벤젠,kg,8.52E-01,액체,공정
원료 및 에너지 생산,기초화학물질,부탄,kg,3.10E+00,기체,공정 (또는 고정/이동)
원료 및 에너지 생산,기초화학물질,불포화폴리에스테르계 도료,kg,2.87E+00,액체,공정
원료 및 에너지 생산,기초화학물질,불화수소,kg,3.54E-01,기체,냉매 (또는 공정)
원료 및 에너지 생산,기초화학물질,비스페놀-A,kg,1.82E+00,고체,공정
원료 및 에너지 생산,기초화학물질,산소,kg,1.26E-01,기체,공정
원료 및 에너지 생산,기초화학물질,산화아연,kg,5.19E+00,고체,공정
원료 및 에너지 생산,기초화학물질,산화철,kg,2.18E+01,고체,공정
원료 및 에너지 생산,기초화학물질,산화칼슘,kg,9.48E-01,고체,공정
원료 및 에너지 생산,기초화학물질,소다회,kg,1.03E+00,고체,공정
원료 및 에너지 생산,기초화학물질,수산화칼슘,kg,5.28E-01,고체,공정
원료 및 에너지 생산,기초화학물질,수소,kg,7.09E-01,기체,공정
원료 및 에너지 생산,기초화학물질,스티렌,kg,1.70E+00,액체,공정
원료 및 에너지 생산,기초화학물질,스티렌 아크릴로니트릴,kg,2.44E+00,고체,공정
원료 및 에너지 생산,기초화학물질,식용 에탄올,kg,2.78E+00,액체,공정
원료 및 에너지 생산,기초화학물질,신나류,kg,1.82E+00,액체,공정
원료 및 에너지 생산,기초화학물질,아닐린,kg,2.90E+00,액체,공정
원료 및 에너지 생산,기초화학물질,아르곤,kg,7.24E-02,기체,공정
원료 및 에너지 생산,기초화학물질,아세톤,kg,1.43E+00,액체,공정
원료 및 에너지 생산,기초화학물질,아크릴로니트릴,kg,2.61E+00,액체,공정
원료 및 에너지 생산,기초화학물질,알킬벤젠술폰산염,kg,1.04E+00,액체,공정
원료 및 에너지 생산,기초화학물질,암모니아,kg,4.15E-01,기체,공정
원료 및 에너지 생산,기초화학물질,액체 이산화탄소,kg,1.90E-01,액체,공정
원료 및 에너지 생산,기초화학물질,에틸렌,kg,1.35E+00,기체,공정
원료 및 에너지 생산,기초화학물질,에틸렌 디클로라이드,kg,6.34E-01,액체,공정
원료 및 에너지 생산,기초화학물질,에틸렌글리콜,kg,1.37E+00,액체,공정
원료 및 에너지 생산,기초화학물질,에틸렌옥사이드,kg,1.70E+00,기체,공정
원료 및 에너지 생산,기초화학물질,에폭시수지,kg,2.53E+00,고체,공정
원료 및 에너지 생산,기초화학물질,에피클로로히드린,kg,4.79E+00,액체,공정
원료 및 에너지 생산,기초화학물질,염산(35%),kg,1.94E-01,액체,공정
원료 및 에너지 생산,기초화학물질,염소,kg,3.92E-01,기체,공정
원료 및 에너지 생산,기초화학물질,염화나트륨,kg,2.90E-02,고체,공정
원료 및 에너지 생산,기초화학물질,염화비닐,kg,1.13E+00,기체,공정
원료 및 에너지 생산,기초화학물질,염화암모늄,kg,9.06E-01,고체,공정
원료 및 에너지 생산,기초화학물질,염화칼륨,kg,2.57E-02,고체,공정
원료 및 에너지 생산,기초화학물질,옥탄올,kg,1.68E+00,액체,공정
원료 및 에너지 생산,기초화학물질,이소-부탄올,kg,1.41E+00,액체,공정
원료 및 에너지 생산,기초화학물질,자일렌,kg,9.14E-01,액체,공정
원료 및 에너지 생산,기초화학물질,제올라이트,kg,7.37E-01,고체,공정
